"","Group","Species","Longitude","Latitude"
"219","Birds","Basileuterus culicivorus",-45.686944,-23.531944
"220","Birds","Pachyramphus polychopterus",-45.683333,-23.538888
"221","Birds","Pipraeidea melanonota",-45.683333,-23.538888
"222","Birds","Turdus flavipes",-45.683333,-23.538888
"223","Birds","Saltator similis",-45.683333,-23.538888
"224","Birds","Tachyphonus coronatus",-45.683333,-23.538888
"225","Birds","Tangara desmaresti",-45.683333,-23.538888
"226","Birds","Thamnophilus caerulescens",-45.683333,-23.538888
"227","Birds","Trichothraupis melanops",-45.683333,-23.538888
"228","Birds","Turdus amaurochalinus",-45.683333,-23.538888
"229","Birds","Turdus rufiventris",-45.683333,-23.538888
"230","Birds","Chiroxiphia caudata",-45.683333,-23.538888
"231","Birds","Elaenia flavogaster",-45.683333,-23.538888
"232","Birds","Elaenia cristata",-45.683333,-23.538888
"233","Birds","Stephanophorus diadematus",-45.683333,-23.538888
"234","Birds","Attila rufus",-45.683333,-23.538888
"235","Birds","Haplospiza unicolor",-45.683333,-23.538888
"236","Birds","Ilicura militaris",-45.683333,-23.538888
"237","Birds","Lathrotriccus euleri",-45.683333,-23.538888
"238","Birds","Basileuterus culicivorus",-45.683333,-23.538888
"239","Birds","Pachyramphus polychopterus",-45.674444,-23.534722
"240","Birds","Tachyphonus coronatus",-45.674444,-23.534722
"241","Birds","Thamnophilus caerulescens",-45.674444,-23.534722
"242","Birds","Trichothraupis melanops",-45.674444,-23.534722
"243","Birds","Turdus albicollis",-45.674444,-23.534722
"244","Birds","Turdus amaurochalinus",-45.674444,-23.534722
"245","Birds","Turdus rufiventris",-45.674444,-23.534722
"246","Birds","Chiroxiphia caudata",-45.674444,-23.534722
"247","Birds","Leptotila verreauxi",-45.674444,-23.534722
"248","Birds","Attila rufus",-45.674444,-23.534722
"249","Birds","Haplospiza unicolor",-45.674444,-23.534722
"250","Birds","Lathrotriccus euleri",-45.674444,-23.534722
"251","Birds","Pachyramphus polychopterus",-45.682222,-23.528055
"252","Birds","Thamnophilus caerulescens",-45.682222,-23.528055
"253","Birds","Tolmomyias sulphurescens",-45.682222,-23.528055
"254","Birds","Chiroxiphia caudata",-45.682222,-23.528055
"255","Birds","Veniliornis spilogaster",-45.682222,-23.528055
"256","Birds","Hylophilus poicilotis",-45.682222,-23.528055
"257","Birds","Basileuterus culicivorus",-45.682222,-23.528055
"258","Birds","Pachyramphus polychopterus",-43.033333,-22.580555
"259","Birds","Pitangus sulphuratus",-43.033333,-22.580555
"260","Birds","Turdus flavipes",-43.033333,-22.580555
"261","Birds","Turdus rufiventris",-43.033333,-22.580555
"262","Birds","Turdus leucomelas",-43.033333,-22.580555
"263","Birds","Turdus amaurochalinus",-43.033333,-22.580555
"264","Birds","Cacicus haemorrhous",-43.033333,-22.580555
"265","Birds","Dacnis cayana",-43.033333,-22.580555
"266","Birds","Euphonia violacea",-43.033333,-22.580555
"267","Birds","Ramphocelus bresilius",-43.033333,-22.580555
"268","Birds","Tachyphonus coronatus",-43.033333,-22.580555
"269","Birds","Saltator maximus",-43.033333,-22.580555
"270","Birds","Laniisoma elegans",-43.033333,-22.580555
"271","Birds","Manacus manacus",-43.033333,-22.580555
"272","Birds","Machaeropterus regulus",-43.033333,-22.580555
"273","Birds","Leptopogon amaurocephalus",-43.033333,-22.580555
"274","Birds","Mionectes oleagineus",-43.033333,-22.580555
"275","Birds","Trichothraupis melanops",-43.033333,-22.580555
"276","Birds","Columbina talpacoti",-43.033333,-22.580555
"277","Birds","Leptotila rufaxilla",-43.033333,-22.580555
"278","Birds","Coereba flaveola",-43.033333,-22.580555
"279","Birds","Cnemotriccus fuscatus",-43.033333,-22.580555
"280","Birds","Tolmomyias flaviventris",-43.033333,-22.580555
"281","Birds","Hemithraupis flavicollis",-43.033333,-22.580555
"282","Birds","Attila rufus",-43.033333,-22.580555
"283","Birds","Lathrotriccus euleri",-43.033333,-22.580555
"284","Birds","Picumnus cirratus",-43.033333,-22.580555
"285","Birds","Celeus flavescens",-43.033333,-22.580555
"286","Birds","Schiffornis virescens",-48.483333,-24.583333
"287","Birds","Tachyphonus coronatus",-48.483333,-24.583333
"288","Birds","Trichothraupis melanops",-48.483333,-24.583333
"289","Birds","Turdus albicollis",-48.483333,-24.583333
"290","Birds","Chiroxiphia caudata",-48.483333,-24.583333
"291","Birds","Veniliornis spilogaster",-48.483333,-24.583333
"292","Birds","Habia rubica",-48.483333,-24.583333
"293","Birds","Lathrotriccus euleri",-48.483333,-24.583333
"294","Birds","Leptopogon amaurocephalus",-48.483333,-24.583333
"295","Birds","Mionectes rufiventris",-48.483333,-24.583333
"296","Birds","Basileuterus culicivorus",-48.483333,-24.583333
"297","Birds","Turdus flavipes",-48.5,-27.516666
"298","Birds","Schiffornis virescens",-48.5,-27.516666
"299","Birds","Trichothraupis melanops",-48.5,-27.516666
"300","Birds","Turdus albicollis",-48.5,-27.516666
"301","Birds","Chiroxiphia caudata",-48.5,-27.516666
"302","Birds","Leptotila rufaxilla",-48.5,-27.516666
"303","Birds","Veniliornis spilogaster",-48.5,-27.516666
"304","Birds","Manacus manacus",-48.5,-27.516666
"305","Birds","Euphonia violacea",-48.5,-27.516666
"306","Birds","Habia rubica",-48.5,-27.516666
"307","Birds","Lathrotriccus euleri",-48.5,-27.516666
"308","Birds","Leptopogon amaurocephalus",-48.5,-27.516666
"309","Birds","Mionectes rufiventris",-48.5,-27.516666
"310","Birds","Schiffornis virescens",-48.516666,-27.716666
"311","Birds","Tachyphonus coronatus",-48.516666,-27.716666
"312","Birds","Trichothraupis melanops",-48.516666,-27.716666
"313","Birds","Turdus albicollis",-48.516666,-27.716666
"314","Birds","Chiroxiphia caudata",-48.516666,-27.716666
"315","Birds","Veniliornis spilogaster",-48.516666,-27.716666
"316","Birds","Habia rubica",-48.516666,-27.716666
"317","Birds","Leptopogon amaurocephalus",-48.516666,-27.716666
"318","Birds","Mionectes rufiventris",-48.516666,-27.716666
"319","Birds","Basileuterus culicivorus",-48.516666,-27.716666
"320","Birds","Turdus flavipes",-48.8,-27.766666
"321","Birds","Schiffornis virescens",-48.8,-27.766666
"322","Birds","Tachyphonus coronatus",-48.8,-27.766666
"323","Birds","Trichothraupis melanops",-48.8,-27.766666
"324","Birds","Turdus albicollis",-48.8,-27.766666
"325","Birds","Chiroxiphia caudata",-48.8,-27.766666
"326","Birds","Habia rubica",-48.8,-27.766666
"327","Birds","Haplospiza unicolor",-48.8,-27.766666
"328","Birds","Lathrotriccus euleri",-48.8,-27.766666
"329","Birds","Leptopogon amaurocephalus",-48.8,-27.766666
"330","Birds","Mionectes rufiventris",-48.8,-27.766666
"331","Birds","Basileuterus culicivorus",-48.8,-27.766666
"332","Birds","Pachyramphus polychopterus",-48.733333,-27.816666
"333","Birds","Setophaga pitiayumi",-48.733333,-27.816666
"334","Birds","Turdus flavipes",-48.733333,-27.816666
"335","Birds","Schiffornis virescens",-48.733333,-27.816666
"336","Birds","Tachyphonus coronatus",-48.733333,-27.816666
"337","Birds","Trichothraupis melanops",-48.733333,-27.816666
"338","Birds","Turdus albicollis",-48.733333,-27.816666
"339","Birds","Turdus rufiventris",-48.733333,-27.816666
"340","Birds","Chiroxiphia caudata",-48.733333,-27.816666
"341","Birds","Attila rufus",-48.733333,-27.816666
"342","Birds","Habia rubica",-48.733333,-27.816666
"343","Birds","Haplospiza unicolor",-48.733333,-27.816666
"344","Birds","Lathrotriccus euleri",-48.733333,-27.816666
"345","Birds","Leptopogon amaurocephalus",-48.733333,-27.816666
"346","Birds","Mionectes rufiventris",-48.733333,-27.816666
"347","Birds","Basileuterus culicivorus",-48.733333,-27.816666
"348","Birds","Leptotila verreauxi",-43.066666,-19.7
"349","Birds","Picumnus cirratus",-43.066666,-19.7
"350","Birds","Schiffornis virescens",-43.066666,-19.7
"351","Birds","Tyrannus melancholicus",-43.066666,-19.7
"352","Birds","Turdus albicollis",-43.066666,-19.7
"353","Birds","Turdus amaurochalinus",-43.066666,-19.7
"354","Birds","Turdus subalaris",-43.066666,-19.7
"355","Birds","Arremon taciturnus",-43.066666,-19.7
"356","Birds","Dacnis cayana",-43.066666,-19.7
"357","Birds","Leptotila verreauxi",-42.933333,-19.133333
"358","Birds","Turdus albicollis",-42.933333,-19.133333
"359","Birds","Arremon taciturnus",-42.933333,-19.133333
"360","Birds","Baryphthengus ruficapillus",-41.816666,-19.733333
"361","Birds","Arremon taciturnus",-41.816666,-19.733333
"362","Birds","Leptotila rufaxilla",-42.65,-19.766666
"363","Birds","Attila rufus",-42.65,-19.766666
"364","Birds","Leptopogon amaurocephalus",-42.65,-19.766666
"365","Birds","Manacus manacus",-42.65,-19.766666
"366","Birds","Turdus leucomelas",-42.65,-19.766666
"367","Birds","Turdus rufiventris",-42.65,-19.766666
"368","Birds","Ramphocelus carbo",-42.65,-19.766666
"369","Birds","Saltator maximus",-42.65,-19.766666
"370","Birds","Trichothraupis melanops",-42.65,-19.766666
"371","Birds","Mionectes rufiventris",-43.35,-19.883333
"372","Birds","Leptopogon amaurocephalus",-43.35,-19.883333
"373","Birds","Tolmomyias sulphurescens",-43.35,-19.883333
"374","Birds","Lathrotriccus euleri",-43.35,-19.883333
"375","Birds","Chiroxiphia caudata",-43.35,-19.883333
"376","Birds","Ilicura militaris",-43.35,-19.883333
"377","Birds","Tachyphonus coronatus",-43.35,-19.883333
"378","Birds","Trichothraupis melanops",-43.35,-19.883333
